well_id,pad_id
5a5269a9,5986_2229
5a5d1982,5814_2068
5a63b5d1,5770_2014
5aa03df7,5954_2182
5aa403d0,5856_2110
5aef5c6c,5935_2148
5b7b6324,5992_2127
5bd25f59,5997_2255
5beded95,5965_2205
5cb483ac,6024_2220
5cdd8dbc,5827_2083
5d11dfb5,5962_2104
5d7198fd,6041_2210
5def1ce5,5812_2073
5eae34a8,5793_2072
5f4d2a52,5998_2231
5f6756c5,6035_2210
5f75f796,6036_2163
5fb1c15f,5859_2112
5fffa282,5977_2201
60e37807,5973_2171
61f27424,5960_2103
62569ae3,6044_2238
62a6f539,5836_2091
633774dc,5943_2190
63559d57,6026_2227
647f2a41,5995_2189
65156b96,5849_2116
653612bc,6050_2242
656a067b,6016_2258
65a5466a,5996_2255
660d9546,6048_2242
6767c111,6016_2269
67847288,6018_2148
67a8da4a,6045_2163
684a6fc1,5916_2162
698930d1,6015_2257
699ea575,6026_2199
69c1bdad,5960_2193
69e41fa6,6042_2238
6a0ff78e,5812_2074
6a8fa194,5823_2033
6ae68655,5982_2114
6d1d74e1,5766_2040
6d590e26,5992_2229
6d6d93af,5799_2024
6dbe4b60,6010_2234
6e6d122c,6015_2183
6e9ccd38,5745_2050
6ea22614,5983_2242
6ede926a,5808_2062
708caea9,6017_2269
70925e23,6051_2150
70e1788b,5750_2051
71642c7d,5888_2030
71ccf778,5824_2034
7224331b,5966_2104
722cf0d8,5779_2051
7256229b,5992_2243
726f3dc2,5966_2205
7271dd80,5913_2157
727a3a10,6074_2193
729665c0,5995_2189
729e9750,5773_2045
729f4217,5815_2076
72dd8501,6016_2197
73348914,5888_2029
739a914f,6018_2234
73b1447d,6015_2183
74b6186b,5918_2175
75c20ec7,6010_2180
75cd5f11,5816_2079
75d20a82,5847_2032
76201745,5996_2255
764072a5,5822_2080
77b0d905,6023_2186
77e4821c,5838_2093
7850c72e,6068_2191
78a4a386,5966_2206
79507629,6003_2142
796dbd4c,5983_2243
7987f2f2,6025_2227
7993a768,5972_2116
7a5660b0,6040_2174
7acda2df,5831_2087
7b2c7b3c,5974_2171
7b38844c,6023_2220
7bb17b96,6025_2219
7c607683,5817_2077
7cbbd047,6030_2228
7cd4bb31,5806_2061
7d50373e,5800_2052
7d57c75d,6008_2265
7e208414,6021_2221
7e721392,5769_2014
7ff89f8f,5744_2050
8050c789,6017_2166
807f0298,6015_2273
811f52b3,5813_2063
81bf5923,6074_2194
81fc01c6,5913_2171
8255c867,5833_2078
82aab6d2,5962_2104
82fcf37c,5769_2041
833af382,5834_2079
8382f4b6,6019_2232
84633df4,5985_2243
8478df29,5985_2243
84815d5a,6028_2200
84c3b497,5775_2015
85380836,5817_2075
8612b37f,6001_2203
861e71df,6014_2233
86454a6f,6001_2180
8648abae,6028_2219
865033f8,5835_2090
87695469,5754_2085
877ed19c,6024_2230
87aa3730,5809_2062
884ecb5f,5813_2074
8902c3f6,5888_2137
896d15b9,5829_2039
8995c945,6017_2270
89969c7a,5991_2242
89f1085d,6007_2126
89f36adf,6050_2243
89fdb2f2,6023_2221
8a3da6d1,6015_2209
8a89da23,5820_2081
8a9c8932,5804_2051
8ac2f237,6017_2232
8b12bab6,6001_2190
8b5be31b,5908_2167
8b95d6d1,5890_2139
8b9d8326,5999_2156
8bb9c1e6,5813_2063
8bda1a11,5773_2046
8bfa881d,6027_2188
8c167025,5882_2128
8c8348e8,6049_2200
8cc21f01,5930_2130
8cc800b3,5978_2225
8d5d46d7,5815_2064
8d92cb49,5981_2179
8f201368,5816_2074
90386ee4,5810_2056
91abc4c7,5801_2051
91b301ce,5844_2107
91db7070,6026_2199
925a7cd1,6006_2179
9283ae69,5855_2120
9298ad5b,5956_2185
9314ff13,5825_2034
93209a3d,6011_2208
939d9c34,5988_2199
93f5d2e6,5856_2110
940a48d9,5982_2240
940e709a,5854_2120
9426ec1e,6025_2217
94467f50,5878_2129
944f36b9,5997_2255
94d813a4,6044_2163
95b559e7,6047_2242
95c8427f,5829_2076
96936c22,6017_2174
96ae5806,5983_2144
96b7eea1,5973_2216
9719aa04,6014_2258
974802e7,5743_2092
97cd5bf9,5915_2172
98177ced,6068_2191
9896fc0b,5858_2111
98bc6f66,5767_2039
992c99e8,6012_2232
992ce078,5824_2033
99529c45,5796_2046
995ff498,5813_2068
999daf80,5835_2090
9a6b0392,5994_2255
9a8ae0d6,6021_2196
9a95e33f,5774_2014
9ab94eeb,5846_2098
9ad5410a,6008_2208
9ae248be,5899_2029
9af1ffd0,5905_2163
9b5b61c1,5942_2191
9b9e3b49,6016_2220
9bd2bba3,6019_2148
9c211c53,5742_2091
9c350a6a,5992_2203
9c8375f7,5835_2079
9d072e4c,6000_2205
9d3ec64c,5905_2164
9d4272e3,6001_2139
9d5e14d4,5782_2056
9da441ba,5995_2230
9dede370,5961_2104
9def2eb2,5967_2171
9df1b1f9,6031_2209
9dfff011,5973_2181
9e3e364d,6025_2232
9efc812e,5881_2118
9f0c7bae,5899_2030
9ffce529,5852_2037
a0383629,5786_2072
a056d01e,5941_2140
a08d9e63,5855_2109
a0b83014,6015_2246
a0e92ed6,6022_2230
a15bc102,5924_2168
a247e7cf,5774_2046
a2e8e7f6,5890_2139
a3518960,6048_2217
a3f71395,5895_2029
a4719920,5977_2178
a48640d9,6016_2146
a4cdbb0f,5779_2052
a4f989c2,5943_2192
a5aa7973,6016_2257
a5e6f7dc,5981_2226
a612d5a0,5942_2191
a622ce4d,5988_2229
a645da9a,6032_2227
a692b17e,5821_2079
a6b8ac67,5896_2029
a6ed2eff,6019_2232
a6f967fb,6067_2190
a76db406,5889_2138
a7744f5b,5813_2069
a783cc24,5876_2137
a79fd2e7,6015_2209
a7fc3e6b,5899_2147
a85bb86f,5839_2093
a85e4bc3,5720_2083
a87433c9,6006_2206
a8ed028a,6073_2178
a959858c,6037_2217
a9c9b150,5972_2216
aa95015b,6001_2234
aaaf3c03,5822_2032
aaeffccb,6013_2182
ab112491,5998_2170
ab18d3fc,6017_2184
ab3ced07,6025_2187
ab6fe95d,5719_2080
ab94878e,5879_2117
abf460d2,6017_2174
ac6f01d5,6029_2187
ad2133a8,5850_2032
add9c322,5980_2229
ae069086,5875_2113
ae0784a8,5981_2143
ae35f33a,5889_2029
ae8959c3,5996_2255
aed44918,6004_2132
aee6393a,5836_2092
af7a59ce,5805_2052
aff4e561,5768_2040
b04b58a3,5884_2147
b0d42b0d,5970_2212
b0f53bf4,5999_2180
b19b0395,5797_2049
b1efb8a4,6015_2194
b32902c0,5980_2229
b32e4903,5808_2053
b3388334,5774_2014
b37fd114,5971_2173
b38e3116,6015_2194
b4d8dd4f,5833_2090
b4f37e6e,5832_2088
b56bc0aa,5832_2086
b585b4fa,5813_2074
b5aa9634,6021_2149
b7974e66,5974_2130
b7cdcecb,5769_2042
b7fea9ef,5876_2137
b85f7b06,6023_2230
b881d27e,5809_2056
b8c49c1a,5885_2131
b95e7121,5996_2231
b977be4a,5990_2229
ba48188d,6023_2170
bb2cdd83,5813_2073
bb337fa0,5981_2203
bb682ebd,6016_2257
bc4381e2,5970_2112
bcebcc5f,5916_2162
bd2c2f34,5751_2051
bd4ae5da,6016_2220
bd6f0e19,6011_2246
bd8f847e,5891_2030
be063506,6005_2206
be35c8f2,6031_2189
be83e781,5808_2054
beda8696,5774_2045
bf39bc20,5825_2083
bf70b410,5773_2044
bffe3082,5988_2201
c03b9305,5878_2139
c03d4aed,5894_2030
c03fba65,5925_2184
c07fd0cd,6042_2174
c1708b88,5960_2171
c1d046f4,6005_2233
c2717d4f,6011_2220
c2c4db09,5991_2230
c2c6fc71,6007_2180
c36625df,6014_2221
c3957531,6041_2174
c42fe306,5799_2049
c43812e2,5968_2105
c472c0b5,5997_2256
c47e0767,6019_2184
c50b42f6,5779_2052
c593337f,5992_2141
c59b6c4a,5776_2048
c66be2b8,5992_2229
c6797dd7,6017_2208
c6b782a4,5872_2110
c6c96179,5817_2078
c70c0e01,6003_2145
c84c65be,5753_2084
c8d9680c,5991_2229
c908edd0,6016_2232
c9578d27,5812_2062
c96c018a,6004_2233
c99f9fae,6034_2228
c9e6734f,5880_2117
c9e980e8,6016_2233
c9fedcf3,5979_2141
cad13e8f,6067_2191
cb34231f,6068_2191
cb879f40,5991_2228
cbb406b5,6011_2244
cbe51de1,6024_2231
cbe62450,5992_2229
cc08aa63,5825_2082
cc8a1d57,5852_2032
ccedb12b,6046_2164
cd7f1687,5979_2178
cda7eb37,5848_2032
cdc31d65,6015_2182
cdc60a53,5815_2069
ce55ba43,5982_2203
ce8399b7,5873_2126
cf50c9d1,5870_2109
d00e7eb9,5780_2068
d011f41b,5943_2192
d07aed8f,6044_2189
d085e611,5988_2244
d0a0e7b5,5981_2229
d0a43760,5883_2119
d0cb63ae,6016_2272
d114d9c2,5769_2041
d1457cc5,5740_2050
d1ecf309,6009_2245
d1ee630d,5989_2229
d217e0c5,5985_2191
d24ff243,5799_2051
d273674e,6027_2200
d2f3b1ab,5812_2064
d3df146b,6054_2243
d40f61d5,5818_2079
d41beaf2,5871_2109
d463e527,6049_2217
d4f60a28,6041_2174
d50c649a,6012_2208
d543916f,5983_2240
d5df0ff5,6035_2229
d60430e6,5987_2228
d63196fe,5852_2038
d6c320d9,5814_2066
d6dd7330,6015_2194
d7ba4f9d,6010_2145
d7eb0be8,6073_2177
d84b621b,5809_2055
d90aa14c,5780_2067
d924e971,6014_2210
d9ae59b2,6021_2246
d9d6d94d,6043_2162
d9eca87b,5774_2045
da2d4d7c,5998_2179
da3bfe4e,5777_2049
da3cf798,5871_2128
da940160,6013_2232
dafc88c3,5796_2049
dbee6c86,6019_2148
dc5fbe29,5844_2046
dc7da28f,5781_2054
dc7f9757,6007_2245
dd168de0,5854_2119
dd64382d,5907_2166
dd6bc5b2,5949_2192
dd7d638e,5827_2084
ddc790ff,6020_2233
df71d1ff,5768_2041
df73b8f3,6004_2143
df8290be,5820_2078
e0079ed1,5912_2170
e03b45fd,5898_2029
e0f36d98,5976_2202
e149204f,5770_2043
e14d641e,5821_2079
e161bd0c,6006_2179
e201fd6d,6051_2187
e25f1537,5884_2147
e2fc7745,6028_2228
e32da4ec,6022_2231
e3b34f5b,5899_2158
e45a2a62,5811_2062
e46f4ef4,6033_2190
e4726608,6022_2230
e5864244,6041_2175
e5c92e59,6043_2209
e5ff9fd2,5958_2113
e6c55748,5813_2068
e730c32b,6019_2221
e737965a,5800_2050
e748dd88,6020_2210
e7818f7a,6021_2248
e7c36e81,5836_2090
e7d0c1de,6013_2233
e85074c5,5836_2091
e97032ad,5836_2090
e9949a23,5844_2028
ea0b99b7,5982_2144
ea3a0e38,5914_2160
ea41324e,6007_2234
eabc711b,6000_2190
eac10e86,5778_2051
eafb863e,5834_2078
eb06a4e7,6011_2221
eb640a35,5985_2243
eb934281,5973_2129
eba6605e,5805_2034
ebe69318,5800_2052
ec0d597b,5784_2057
ec13af42,6014_2182
ecdab904,5961_2103
ecdaf714,5846_2110
ed6436d6,6003_2171
ed6e6e54,6015_2195
edf885a3,6018_2167
ee0300f7,6033_2184
ee288beb,5989_2254
ee4aecac,5942_2132
eeda36f5,5892_2030
eeed308d,5815_2069
ef04658e,5882_2128
ef8e3ed0,5975_2130
efde6ac3,5988_2244
efe96181,5878_2129
f0188a48,5962_2169
f021b650,5973_2102
f03f10fe,5818_2080
f053a1b9,6022_2186
f074d277,6044_2212
f07d7037,5973_2129
f08774c3,5841_2028
f140c2fa,5844_2027
f16e25e3,5979_2240
f2d4c8c9,5771_2042
f321a31c,6010_2144
f40cd091,6000_2203
f439a621,5856_2111
f49fdea3,5984_2115
f4d12d23,5835_2080
f56d3ace,6006_2234
f5859199,5976_2104
f5d8aab6,6014_2258
f631da6e,5971_2215
f6824bb0,5814_2074
f6bc699b,5903_2150
f6d009f4,6018_2270
f72b268f,6008_2272
f8662c22,5943_2133
f88ddb26,5971_2129
f8afa78a,5772_2044
f8f59188,6012_2244
f9fc81aa,5811_2063
fa16d114,5776_2048
fa31da94,6026_2228
fa667be2,6020_2149
fae0c593,5989_2243
fb03ae90,5773_2014
fb0904bd,5921_2166
fb3848a1,5801_2051
fb73b13a,6017_2271
fba7683c,6012_2195
fbd68d27,5815_2078
fc03f21f,6007_2207
fc0d20b2,5869_2132
fcfcc902,5966_2186
fd3b4faa,6013_2244
fd710aea,6020_2185
fd8f77fa,6008_2233
fde20ecf,6046_2241
fdfd57da,6003_2232
febb4411,6042_2175
fef8af96,5860_2114
ff0aea78,5967_2137
ff8bb73a,5880_2118
ffefef30,5889_2030
