well_id,corr_lag0,best_lag_ft,overlap_pts
1fdbba44,0.7275284051071296,0.0,933
1fee2b62,0.7157545427711893,0.0,1526
20096916,0.6740837620634285,0.0,1603
200d233d,0.8811693259582907,-0.25,2864
201661b5,0.8172256976427428,0.5,4578
203721ab,0.8283610621406867,0.0,1161
20402d71,0.7457038464503218,0.0,1360
2043abc5,0.8137048848102216,0.0,1054
204cc64b,0.7407756391314213,0.0,1543
206b6193,0.8869412465514179,0.5,1506
2075c696,0.8310576008534276,-2.5,2233
22c5f93f,0.6524530638500585,1.0,1661
230eaaa3,0.7901806920437304,3.5,1835
2364716c,0.9624454284684233,0.0,3031
23b9beb0,0.8029230254685076,2.0,1001
24d8997e,0.8344193503656797,0.0,1421
25050f63,0.8649623556038635,0.0,1354
25939962,0.8306935905399923,-0.5,1619
25fd32b3,0.8464553169074193,0.0,1049
261785ee,0.8910716062280393,0.5,1960
264feceb,0.8569752519785622,-0.5,1548
26623a50,0.869648579877811,0.0,1624
26d3a96a,0.8827652409141642,0.0,1521
272abef3,0.8608641877751064,0.0,1201
27300fd5,0.5603965057016401,0.0,1534
276b012a,0.8527671838913053,0.0,908
27c3155b,0.8733000924004772,0.5,2038
27ebb9b9,0.8884656651481195,0.0,1635
283269ac,0.8848907294522761,0.5,1828
28473855,0.7843837862433055,4.25,4479
28f4eda9,0.8348005844458761,0.0,816
29b24409,0.7840674235671031,0.0,1037
29de15c8,0.8572358143998513,0.0,1289
2ab29395,0.5963473747921427,1.0,726
2ac7cb6b,0.9163692507468495,0.0,1065
2acc78d4,0.8032557424862043,0.5,1558
2b034622,0.8257230528154138,0.0,2409
2b06ad65,0.8361518230021303,0.0,1024
2b547943,0.8258936399750756,-0.5,1461
2be5c96a,0.8780490796179028,0.0,1210
2bff06cf,0.8450690110210489,0.5,1677
2c0c4a4e,0.952226290092018,0.25,3081
2cee0cba,0.8791588781948871,0.0,781
2d0c268a,0.9508789409899885,0.0,1589
2d179ded,0.8237750630156184,0.0,1988
2d196986,0.8696934669252478,0.0,1560
2d2d0c6b,0.7218680392684428,0.5,1195
2d35f86d,0.7863818880770749,1.5,1389
2d9f6cb9,0.8391468637819768,0.5,659
2ddad940,0.8822739087402418,0.0,1186
2e29e833,0.8581701177851477,0.25,3231
2e43c2ea,0.8006746326505622,0.5,1509
2e63d9de,0.909087464714413,0.0,1579
2ee0235b,0.877441812712451,-0.5,1474
2f19d536,0.7786647176514621,-0.5,1099
2f8e53c3,0.8297462161928331,-0.5,2175
2fa01aa6,0.7613851209889382,0.0,1576
2fd68f7b,0.936988256061679,0.5,1470
2fe023be,0.8319643052470816,11.5,1749
30d75030,0.8805894290004885,0.0,1152
310c71a5,0.9040964927540204,0.5,1562
32fe84c9,0.8289622135426076,0.5,1403
33c40295,0.866639854921877,4.5,1433
3407f5bf,0.9384294122830581,0.0,1264
3417285d,0.8897900382079278,0.0,765
347242c8,0.8013896278203995,0.0,1589
353e5502,0.8612550102197771,-1.0,837
357c12f9,0.9486226479600337,1.0,1941
3584a6eb,0.832546454545348,-0.5,1522
35b30c7f,0.866446853983025,-0.25,2583
35b3ef6a,0.9436477519006522,0.0,1308
367456ce,0.9484191938663393,0.0,1442
368131f9,0.7779231197553227,0.0,1006
368fe682,0.5855739833633732,0.5,1072
3690a146,0.9348591929846837,0.0,1623
37344c2a,0.900765562059212,-0.5,1407
373ef48b,0.8237961624009275,0.0,1110
374be387,0.8818475997887941,-0.5,1669
37d36812,0.8353765719397371,0.5,1446
38991fd4,0.9419618225010346,-0.25,2567
389ae58f,0.7925447181298089,-0.5,1614
3932faa6,0.8251045010373389,0.0,1949
398dce4b,0.9647356851122059,0.0,1644
39b51819,0.8420911512356796,0.5,1438
3a0af893,0.47040647554328435,-0.25,1903
3a223519,0.7035267946653401,7.0,1891
3a7dd95d,0.8136727631585542,-0.5,888
3a824aa7,0.8122416927785945,0.0,1084
3a86fe8d,0.9095872533447775,0.0,1165
3aaa2b30,0.8854686941972324,0.0,1138
3ac16ad0,0.8446936430711363,-1.0,1572
3b21ea64,0.7442127457525383,0.5,1443
3bbe1f5d,0.8326505064819476,-1.0,1464
3bfee975,0.8060336306995963,-0.5,956
3c3dbcbc,0.8681667598410086,0.0,1383
3d96d897,0.8344003961317514,0.0,1136
3df4b19e,0.8866998023283893,0.0,1499
3e011332,0.9121954638619236,0.0,2155
3e678ea7,0.8243064525910074,0.0,1358
3ef6372a,0.7863980831923918,2.5,1738
3ef98781,0.8080235373399677,0.0,952
3f603129,0.8844903175740045,0.0,1036
404c4384,0.9147975988917694,0.0,1469
4121c517,0.9383231071205269,0.5,1738
41fb0192,0.6701663706947334,0.5,915
42669188,0.8891801132464004,0.0,1627
42c538a1,0.7050661455413549,0.0,913
43b06c70,0.8651888328362677,0.0,1566
43c7f85a,0.7554331917664927,0.0,1116
43e16325,0.9024069369725303,0.0,2004
44441e54,0.6390740422238224,0.25,1691
445af6c2,0.8985472162614908,0.0,1827
4463446c,0.8189781462412203,-0.5,809
44a94013,0.8312281520366719,0.0,531
45fb3e21,0.801226478411362,-6.0,1920
460f859e,0.7559280927116425,0.0,1294
4630ab92,0.8576171482886453,0.0,3849
463c38f2,0.8649811558387358,0.0,1859
4654e7de,0.9051248973446189,-0.5,1200
466fc788,0.9014921958911946,0.0,3471
46a301e9,0.9033676734105697,-1.5,1432
46a7190b,0.6976024444832113,1.0,1052
46d24a09,0.7292094219068344,0.0,1189
46d41ff6,0.8246347770088229,0.0,777
46dfcfca,0.7764135488773348,-0.5,906
47222616,0.8294352527282134,0.5,878
47ee27ab,0.8910646804566308,0.0,1373
481de5fc,0.7965321202996738,-0.5,1588
48c1f673,0.9534790074603758,0.0,1481
4936af16,0.9299525933188105,0.0,1154
493b5b31,0.8168561961798284,0.0,2059
49dbc14c,0.6409978647468971,-1.0,943
4a035ec2,0.7100917388970533,0.0,1640
4a335117,0.7377958692646461,-2.5,2092
4a8ecc0b,0.8246108386370682,0.0,1707
4b462989,0.9398028425436129,0.0,1383
4b831d20,0.5702490309077356,8.0,2371
4c2208f5,0.7344271595207559,-0.5,1527
4c3168cf,0.8463532271049471,0.0,1331
4c3df468,0.7892215962894892,-0.5,968
4caa7289,0.7935500522138578,0.0,1018
4cd1ac61,0.8737926650237025,0.0,1948
4cecf7b3,0.7703238063248992,-0.25,2258
4ddde4c1,0.9626081344204719,0.0,1835
4e050c92,0.8454094133892736,0.25,2177
4ed93db6,0.8435432662705264,0.0,1776
4f3eb9e9,0.7671173677103872,0.0,434
4f4ac5ce,0.9163790567836896,0.0,642
4f4afcc6,0.9100840662796915,0.0,1122
4f69febf,0.8988736341169241,0.0,2259
4fbe9c06,0.8605515044445676,0.0,803
504c8b08,0.840407668611509,-0.5,1676
511e1db0,0.9071347741419876,0.0,2861
512943b2,0.8940151120947806,0.5,1479
5138a660,0.7500918740699271,-0.25,1715
516088b7,0.82350183574468,0.0,1461
521a7819,0.8543389390704391,-0.5,1781
5254b6db,0.788214207829811,-0.5,1620
529e88ca,0.9401432041746612,0.0,1698
52f1e77a,0.7606985981382931,0.5,988
5305524b,0.5120670720889093,4.0,519
53134831,0.839069062723879,0.5,3675
5397ceb1,0.8404879234239195,0.0,1182
53f23031,0.8902594109310678,0.0,1402
543198e8,0.8167900539644584,1.0,1444
54753541,0.8834934052972494,0.5,1018
54a7e3c2,0.9009054109682919,1.0,1277
5542c301,0.9196212559624244,0.0,1393
5567d551,0.7635057810660907,1.5,1096
55efee7f,0.6963852435269393,-0.25,3275
5663b2b7,0.8355011464104534,0.5,1870
5693dde2,0.3960480625985996,0.0,1977
56b00794,0.6252562299984633,2.5,808
57796579,0.9360509004773268,0.0,3460
577eec7c,0.9192675272693033,0.0,2572
57f05c51,0.7801844473827928,0.0,1776
58850d2c,0.6752228773068308,-4.0,1620
58fa8486,0.826765286034375,0.0,1563
591cc951,0.9223903640280645,0.0,2702
593876b6,0.8592151286233212,0.0,1058
59f8b2e8,0.8010126117302145,-0.5,1424
5a1a8fd8,0.8234544735901099,0.0,2687
5a5269a9,0.8274185661944021,0.0,1137
5a5d1982,0.9040904228793406,-0.5,961
5a63b5d1,0.790060113908771,0.5,1513
5aa03df7,0.9005488959675101,0.0,1888
5aa403d0,0.9443955284011363,-0.5,1308
5aef5c6c,0.858516343604336,0.0,769
5b7b6324,0.8386519331631005,0.5,1000
5bd25f59,0.9703946930038507,0.0,1909
5beded95,0.7923540745550155,18.0,1517
5cb483ac,0.8207233248029615,0.0,1908
5cdd8dbc,0.7217862958726927,0.5,1434
5d11dfb5,0.8579077913083076,0.0,1655
5d7198fd,0.7849406783314177,-0.25,1029
5def1ce5,0.7962792985548736,-0.5,1125
5eae34a8,0.9294005829470298,0.0,715
5f4d2a52,0.8777864526130649,-0.5,1617
5f6756c5,0.8508795377214298,0.25,3944
5f75f796,0.7327541324337095,0.5,1709
5fb1c15f,0.9083081162979852,0.0,1606
5fffa282,0.9186534553461653,0.5,1820
60e37807,0.9084433546860129,0.0,1845
61f27424,0.8139322723171188,0.5,2230
62569ae3,0.8998276713258168,0.0,1339
62a6f539,0.7810497897293858,0.0,1298
633774dc,0.9318704978981163,0.5,1550
63559d57,0.8327338652826403,0.0,2643
647f2a41,0.8398570445970136,0.0,1752
65156b96,0.8655683170551106,0.0,1640
653612bc,0.8161491119154172,0.0,850
656a067b,0.9417531308864283,0.0,1694
65a5466a,0.893511311192829,0.0,1036
660d9546,0.7396350214632058,0.0,893
6767c111,0.9177024101070107,0.0,1360
67847288,0.7862461988109429,0.5,1204
67a8da4a,0.8362103380536676,-0.5,1502
684a6fc1,0.9492084560092623,0.5,2825
698930d1,0.948132124482581,-0.5,1695
699ea575,0.8348497648256357,0.0,1822
69c1bdad,0.8952737968610261,0.5,1504
69e41fa6,0.6522714723008727,-1.0,979
6a0ff78e,0.828931232942282,0.0,1010
6a8fa194,0.815676515002556,-0.5,1358
6ae68655,0.7718640903955816,-1.0,696
6d1d74e1,0.7606130087302941,0.5,872
6d590e26,0.8790381520632249,0.0,1592
6d6d93af,0.6066007137082994,0.0,1202
6dbe4b60,0.8903032823699027,0.0,1580
6e6d122c,0.722003669508107,-1.0,1071
6e9ccd38,0.9442172456290304,0.0,638
6ea22614,0.9623859770425487,0.0,1822
6ede926a,0.8353861151163038,0.0,1143
708caea9,0.9212506154843065,0.0,1805
70925e23,0.5885336692446109,-0.5,1974
70e1788b,0.8466096137792231,-0.5,1892
71642c7d,0.7014857898408061,9.0,1968
71ccf778,0.8485659072858659,0.0,1742
7224331b,0.7917844848411755,0.0,1076
722cf0d8,0.884841140958182,-0.5,2047
7256229b,0.9001523845420537,2.5,1480
726f3dc2,0.8645320561511314,0.0,1704
7271dd80,0.9703763620337804,-0.25,3570
727a3a10,0.7061129837916214,-0.5,1705
729665c0,0.850401473213498,0.0,1158
729e9750,0.8166453960985284,0.5,1116
729f4217,0.7776909047758047,0.0,938
72dd8501,0.8665429908941784,0.0,3084
73348914,0.7035194109452821,0.0,710
739a914f,0.8837434543603552,0.5,1329
73b1447d,0.847886682597999,0.0,1798
74b6186b,0.872592112439983,2.0,1610
75c20ec7,0.8454213315311381,1.0,1741
75cd5f11,0.6857726475233414,-1.0,1171
75d20a82,0.8651212617691434,0.5,2001
76201745,0.9417899129474905,0.0,879
764072a5,0.9023430678122857,0.5,1424
77b0d905,0.835834563213373,4.5,1472
77e4821c,0.8119812399579491,0.0,996
7850c72e,0.810298437427728,-0.5,2120
78a4a386,0.7854031235057447,0.0,318
79507629,0.7634104066758506,0.0,2088
796dbd4c,0.9168099526553579,1.0,1805
7987f2f2,0.8163093739802282,0.25,3531
7993a768,0.8790452128716162,0.0,751
7a5660b0,0.7976596664718006,-0.5,1791
7acda2df,0.40032598169917893,17.0,912
7b2c7b3c,0.8973379764116286,0.0,1083
7b38844c,0.8435103641617149,0.0,1943
7bb17b96,0.845948356900113,-0.25,1898
7c607683,0.8636430855570318,0.0,1514
7cbbd047,0.8842533972871526,-0.25,2948
7cd4bb31,0.8319963539566203,0.0,1047
7d50373e,0.8235446902431003,0.0,1073
7d57c75d,0.9224845682406858,0.5,1455
7e208414,0.8476467548681446,0.25,2026
7e721392,0.7985933257210932,0.0,1899
7ff89f8f,0.7258143371079314,0.5,2106
8050c789,0.9245339266346104,0.0,1267
807f0298,0.9399247190637752,0.0,1251
811f52b3,0.9116503816418138,-0.5,1737
81bf5923,0.7531603698678199,0.0,1514
81fc01c6,0.9574729516561328,0.0,1651
8255c867,0.853586751434161,0.0,1768
82aab6d2,0.8101998472040527,0.0,1580
82fcf37c,0.7074625502512282,-2.0,906
833af382,0.7983798306812852,-0.5,1405
8382f4b6,0.6792050922196716,0.0,1055
84633df4,0.9507408818778923,-0.5,1702
8478df29,0.9443050973111843,0.0,1661
84815d5a,0.7739468435527134,0.0,3519
84c3b497,0.8189054794239151,0.0,1069
85380836,0.8849420624056082,0.0,872
8612b37f,0.8451704732155806,0.5,1236
861e71df,0.9177531774159199,0.0,1806
86454a6f,0.5129011964033633,-5.5,266
8648abae,0.8313947415220198,-0.25,3732
865033f8,0.6802609649872852,-0.5,1540
87695469,0.7793434382484835,-26.5,3318
877ed19c,0.8592135450598033,0.0,1577
87aa3730,0.7989341767044389,0.5,1202
884ecb5f,0.8467471299691858,0.0,1100
8902c3f6,0.9262059437119862,0.0,1127
896d15b9,0.8565494716192952,0.0,960
8995c945,0.8947578744180766,0.0,1441
89969c7a,0.9405017938898533,0.0,1779
89f1085d,0.5439880479662538,-0.5,764
89f36adf,0.8318764119947346,0.5,2866
89fdb2f2,0.8660172232678263,-0.25,2135
8a3da6d1,0.8677484940999474,0.25,3263
8a89da23,0.8528184179425787,0.0,1268
8a9c8932,0.6352944186893714,0.5,1022
8ac2f237,0.8226480607286231,0.5,1093
8b12bab6,0.8374119380034463,0.0,1745
8b5be31b,0.9194846485717931,0.0,1667
8b95d6d1,0.8928765137890806,0.0,1017
8b9d8326,0.8709079245630497,0.0,1365
8bb9c1e6,0.8798339863100337,0.0,1555
8bda1a11,0.7987357212645835,0.0,1130
8bfa881d,0.7130221874266603,36.5,1510
8c167025,0.9179669557536763,0.5,1256
8c8348e8,0.7199859846616308,0.5,1226
8cc21f01,0.8299207182994119,0.5,1682
8cc800b3,0.9150105253121357,-0.5,1230
8d5d46d7,0.7803095976880425,0.0,1274
8d92cb49,0.7822822249834039,0.0,910
8f201368,0.8286191260196033,0.0,1019
90386ee4,0.7858356904356262,0.0,1029
91abc4c7,0.7962928840084957,0.0,892
91b301ce,0.8836175886577744,0.0,1303
91db7070,0.8602911888409805,0.0,2477
925a7cd1,0.809498029840001,-1.0,1596
9283ae69,0.8316561577193631,0.5,1544
9298ad5b,0.8674916030696876,1.0,1490
9314ff13,0.8184909392120816,-1.0,1221
93209a3d,0.8552135744665658,0.0,1157
939d9c34,0.871731914588035,0.0,1995
93f5d2e6,0.889983445427072,0.0,1047
940a48d9,0.9554709918810442,0.0,1662
940e709a,0.6225205118255556,0.0,1397
9426ec1e,0.7905682642716282,0.25,1887
94467f50,0.8023232256185042,-5.0,2129
944f36b9,0.7993117343345099,0.0,989
94d813a4,0.8124587288892917,0.5,1634
95b559e7,0.8963982767887486,0.5,1520
95c8427f,0.8834049012607339,0.0,1635
96936c22,0.8665072369641593,0.0,1415
96ae5806,0.8804428434799669,0.0,1561
96b7eea1,0.8635286370558553,-2.5,1607
9719aa04,0.9336352648692441,-0.5,1614
974802e7,0.8416794066782765,-0.25,2562
97cd5bf9,0.8493141093905444,-3.5,1462
98177ced,0.8661923526148303,0.5,1967
9896fc0b,0.9187553797824742,-0.5,1188
98bc6f66,0.8285916645571961,0.5,1462
992c99e8,0.8681839215107836,0.5,1665
992ce078,0.8595934611798459,0.0,1642
99529c45,0.9342804552555145,0.0,788
995ff498,0.8916965656953632,0.5,1290
999daf80,0.8310312025534715,0.0,1361
9a6b0392,0.9303570522911869,0.0,1229
9a8ae0d6,0.8697746159653816,0.0,2422
9a95e33f,0.9270501299894984,0.0,1787
9ab94eeb,0.8400611507688294,2.0,1696
9ad5410a,0.6683482772855304,0.5,982
9ae248be,0.7600321130781422,0.0,827
9af1ffd0,0.9502410122914775,-0.5,1659
9b5b61c1,0.9404547193345248,-0.5,1546
9b9e3b49,0.8856321115523916,-0.5,1661
9bd2bba3,0.849191491304762,0.0,1635
9c211c53,0.9004933107322234,-0.25,2519
9c350a6a,0.9008092663449545,-0.5,1619
9c8375f7,0.779947725164474,0.0,1735
9d072e4c,0.8227915163332843,0.25,2219
9d3ec64c,0.9531538817616307,0.0,1444
9d4272e3,0.731068670625536,0.0,1481
9d5e14d4,0.8516164101620065,0.0,729
9da441ba,0.7958068019627823,0.0,897
9dede370,0.8215242504343014,0.0,1675
9def2eb2,0.8882081809517489,0.0,1427
9df1b1f9,0.8530534382995115,0.25,3543
9dfff011,0.8472979642754892,-0.5,1849
9e3e364d,0.7686149412682234,0.5,1010
9efc812e,0.953823784118053,-0.25,2294
9f0c7bae,0.7018001928545505,1.0,698
9ffce529,0.6099772732180201,0.0,1180
a0383629,0.786561859241947,-0.5,1432
a056d01e,0.8220750327271207,0.0,1494
a08d9e63,0.7783520529412684,-0.5,1184
a0b83014,0.8941283478920707,0.0,1877
a0e92ed6,0.7828239170017842,0.5,811
a15bc102,0.9263046273535036,-1.75,3489
a247e7cf,0.8000420623185117,0.5,1187
a2e8e7f6,0.8729692851818334,-0.5,1017
a3518960,0.799521926610473,-0.75,4374
a3f71395,0.691501295464003,1.0,1105
a4719920,0.864966320413828,0.0,1111
a48640d9,0.5783347093594717,6.5,1589
a4cdbb0f,0.8438265911553077,-0.5,1099
a4f989c2,0.9023623702689096,0.0,1196
a5aa7973,0.9511308344483098,0.0,1664
a5e6f7dc,0.8358505109789861,0.5,1409
a612d5a0,0.9441596535256644,0.0,1452
a622ce4d,0.836923854793627,0.5,1220
a645da9a,0.8514013291791278,-0.5,3030
a692b17e,0.8025664566862766,8.0,1669
a6b8ac67,0.8652482978124026,0.5,1424
a6ed2eff,0.8743393152461434,0.0,1690
a6f967fb,0.792429227684105,0.0,2353
a76db406,0.8908905594026874,0.0,1707
a7744f5b,0.8802360895129212,-0.5,1324
a783cc24,0.9359109801687947,0.0,935
a79fd2e7,0.8861415840683938,0.0,3451
a7fc3e6b,0.9423202784592177,0.0,2834
a85bb86f,0.7852330610005182,0.5,1806
a85e4bc3,0.8240332134090991,0.0,2150
a87433c9,0.860854530078903,-3.0,840
a8ed028a,0.812248465765574,0.5,1532
a959858c,0.7778738070631129,0.5,4656
a9c9b150,0.8745479317943925,0.5,1660
aa95015b,0.8984497680318934,0.0,1210
aaaf3c03,0.837292820113838,0.5,1566
aaeffccb,0.8517569703024113,-0.5,1293
ab112491,0.8273871244810193,0.5,2002
ab18d3fc,0.8498390439543759,0.0,1466
ab3ced07,0.8615328574610568,0.5,1590
ab6fe95d,0.8748421102691688,0.0,2628
ab94878e,0.940391151425572,-0.25,3227
abf460d2,0.8748333179114743,-0.5,1173
ac6f01d5,0.8132211244101507,-0.5,1602
ad2133a8,0.7247237734589879,-0.5,1421
add9c322,0.934056341918499,0.0,1308
ae069086,0.9396986789424917,0.0,3899
ae0784a8,0.9072678560694881,0.0,825
ae35f33a,0.6171507349162808,13.5,1868
ae8959c3,0.930192419074826,-0.5,2146
aed44918,0.7164760604253859,0.5,668
aee6393a,0.7561522983676454,1.0,740
af7a59ce,0.6027172953667408,0.0,921
aff4e561,0.8345086486643654,0.0,1485
b04b58a3,0.9380708334735266,0.0,1249
b0d42b0d,0.8367359252284702,0.0,946
b0f53bf4,0.8842846225244673,0.0,724
b19b0395,0.8262639510687493,0.5,1037
b1efb8a4,0.8333878268626292,0.25,2505
b32902c0,0.9203073723557992,0.0,1725
b32e4903,0.6916618011303837,-5.5,1212
b3388334,0.8982683798124975,0.5,1679
b37fd114,0.8472505758594601,0.0,1115
b38e3116,0.8777188732580515,-0.25,3140
b4d8dd4f,0.8350932278114097,0.5,1557
b4f37e6e,0.8709437755126004,0.0,1034
b56bc0aa,0.8294779618947348,0.0,1723
b585b4fa,0.8581498141110625,-0.5,1543
b5aa9634,0.812298581573782,0.0,786
b7974e66,0.8617276210978412,0.5,1105
b7cdcecb,0.8320407703619462,0.5,1155
b7fea9ef,0.9523605402515812,0.0,1203
b85f7b06,0.8100076572628171,0.0,1192
b881d27e,0.6128331150909224,-3.5,1216
b8c49c1a,0.8557459227141531,0.0,1895
b95e7121,0.811111169434823,0.0,994
b977be4a,0.814149727256247,0.0,1102
ba48188d,0.8140780443611823,0.5,994
bb2cdd83,0.8639307163594884,0.0,1673
bb337fa0,0.8811943892435349,0.5,1081
bb682ebd,0.9255562356983925,-0.5,1739
bc4381e2,0.8122149566527781,0.5,700
bcebcc5f,0.9454441006896835,0.5,2818
bd2c2f34,0.9352927767672938,0.0,1431
bd4ae5da,0.8049672532391687,1.0,1822
bd6f0e19,0.8775660332356864,-0.5,1516
bd8f847e,0.700775685562269,0.0,1004
be063506,0.8037257745108484,1.0,1805
be35c8f2,0.8500468258057158,0.0,1500
be83e781,0.47301271595062333,-10.5,1123
beda8696,0.7741395727987365,0.0,1608
bf39bc20,0.7660649013195872,0.0,1302
bf70b410,0.6700556320383135,-0.5,1413
bffe3082,0.7567036416760031,0.5,1132
c03b9305,0.8133421288720298,0.5,1723
c03d4aed,0.7954293087152878,0.0,1432
c03fba65,0.9279011621960017,0.0,1934
c07fd0cd,0.8041282720566036,0.5,1623
c1708b88,0.8872797072319935,1.0,1541
c1d046f4,0.9032223605692726,0.0,905
c2717d4f,0.8926928294760406,0.0,1470
c2c4db09,0.8994508645904179,0.0,1378
c2c6fc71,0.8735351955674762,0.0,1248
c36625df,0.8152845896139148,0.5,1599
c3957531,0.7967491200643334,0.0,1849
c42fe306,0.8284278472237576,0.0,899
c43812e2,0.7817290738655479,0.5,1700
c472c0b5,0.9568486822915746,-0.5,1379
c47e0767,0.8223586218768442,0.0,1479
c50b42f6,0.8590903134005001,0.5,1785
c593337f,0.7640672906270511,0.0,1341
c59b6c4a,0.8695500776107261,0.0,1865
c66be2b8,0.900760261396784,0.0,1811
c6797dd7,0.94802922417977,0.0,2821
c6b782a4,0.9340485594859593,0.0,2742
c6c96179,0.841649422868841,1.5,1655
c70c0e01,0.5924579516506803,6.5,1496
c84c65be,0.8848625163979015,0.0,3110
c8d9680c,0.8081981325496278,0.0,1051
c908edd0,0.8597805376296229,0.0,1044
c9578d27,0.851041931873091,0.0,1328
c96c018a,0.8905968663500389,0.0,1208
c99f9fae,0.8622739018192572,0.0,3991
c9e6734f,0.8768219521908428,0.25,2542
c9e980e8,0.8786529404972171,0.0,1934
c9fedcf3,0.8786290070355252,0.0,1483
cad13e8f,0.8228004109272873,0.5,2112
cb34231f,0.8984549135549366,-0.5,1894
cb879f40,0.9101223879716609,0.0,1164
cbb406b5,0.7768179164034756,37.0,1756
cbe51de1,0.8449434965509667,0.0,2433
cbe62450,0.8041089471536773,3.5,1193
cc08aa63,0.7469070421030338,3.5,1418
cc8a1d57,0.7759607000020166,0.0,1365
ccedb12b,0.8114360160747311,-0.5,1616
cd7f1687,0.869171789789961,0.0,1657
cda7eb37,0.7935016460491015,0.0,1363
cdc31d65,0.8549419860047996,-0.5,1205
cdc60a53,0.925658523119406,0.0,1073
ce55ba43,0.8185575714950879,0.5,964
ce8399b7,0.8570804036214011,0.25,3869
cf50c9d1,0.8966676900309114,0.0,2301
d00e7eb9,0.8198575429622421,3.0,762
d011f41b,0.8971243666549541,0.0,1194
d07aed8f,0.8875458908933616,0.0,1253
d085e611,0.9545186715614944,0.0,1402
d0a0e7b5,0.8811167310489554,0.5,1071
d0a43760,0.8513009551681869,-0.5,2251
d0cb63ae,0.9373104317025108,0.0,1586
d114d9c2,0.776732230094049,0.5,972
